"module name","license","repository"
"@ai-sdk/anthropic@3.0.63","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/gateway@3.0.77","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/provider-utils@4.0.21","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/provider@3.0.8","Apache-2.0","https://github.com/vercel/ai"
"@ai-sdk/react@3.0.136","Apache-2.0","https://github.com/vercel/ai"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru"
"@babel/code-frame@7.29.0","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.29.0","MIT","https://github.com/babel/babel"
"@babel/core@7.29.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.29.1","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.27.3","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-globals@7.28.0","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.28.6","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.28.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.27.1","MIT","https://github.com/babel/babel"
"@babel/helpers@7.29.2","MIT","https://github.com/babel/babel"
"@babel/parser@7.29.2","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-jsx@7.28.6","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.28.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.28.6","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-typescript@7.28.6","MIT","https://github.com/babel/babel"
"@babel/preset-typescript@7.28.5","MIT","https://github.com/babel/babel"
"@babel/runtime@7.29.2","MIT","https://github.com/babel/babel"
"@babel/template@7.28.6","MIT","https://github.com/babel/babel"
"@babel/traverse@7.29.0","MIT","https://github.com/babel/babel"
"@babel/types@7.29.0","MIT","https://github.com/babel/babel"
"@base-ui/react@1.3.0","MIT","https://github.com/mui/base-ui"
"@base-ui/utils@0.2.6","MIT","https://github.com/mui/base-ui"
"@dotenvx/dotenvx@1.57.1","BSD-3-Clause","https://github.com/dotenvx/dotenvx"
"@ecies/ciphers@0.2.5","MIT","https://github.com/ecies/js-ciphers"
"@emnapi/core@1.9.1","MIT","https://github.com/toyobayashi/emnapi"
"@emnapi/runtime@1.9.1","MIT","https://github.com/toyobayashi/emnapi"
"@emnapi/wasi-threads@1.2.0","MIT","https://github.com/toyobayashi/emnapi"
"@eslint-community/eslint-utils@4.9.1","MIT","https://github.com/eslint-community/eslint-utils"
"@eslint-community/regexpp@4.12.2","MIT","https://github.com/eslint-community/regexpp"
"@eslint/config-array@0.21.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/config-helpers@0.4.2","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/core@0.17.0","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/eslintrc@3.3.5","MIT","https://github.com/eslint/eslintrc"
"@eslint/js@9.39.4","MIT","https://github.com/eslint/eslint"
"@eslint/object-schema@2.1.7","Apache-2.0","https://github.com/eslint/rewrite"
"@eslint/plugin-kit@0.4.1","Apache-2.0","https://github.com/eslint/rewrite"
"@floating-ui/core@1.7.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.6","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.8","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.11","MIT","https://github.com/floating-ui/floating-ui"
"@hono/node-server@1.19.11","MIT","https://github.com/honojs/node-server"
"@humanfs/core@0.19.1","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanfs/node@0.16.7","Apache-2.0","https://github.com/humanwhocodes/humanfs"
"@humanwhocodes/module-importer@1.0.1","Apache-2.0","https://github.com/humanwhocodes/module-importer"
"@humanwhocodes/retry@0.4.3","Apache-2.0","https://github.com/humanwhocodes/retry"
"@img/colour@1.1.0","MIT","https://github.com/lovell/colour"
"@img/sharp-darwin-arm64@0.34.5","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-libvips-darwin-arm64@1.2.4","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@inquirer/ansi@1.0.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/confirm@5.1.21","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/core@10.3.2","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/figures@1.0.15","MIT","https://github.com/SBoudrias/Inquirer.js"
"@inquirer/type@3.0.10","MIT","https://github.com/SBoudrias/Inquirer.js"
"@jridgewell/gen-mapping@0.3.13","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/remapping@2.3.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec@1.5.5","MIT","https://github.com/jridgewell/sourcemaps"
"@jridgewell/trace-mapping@0.3.31","MIT","https://github.com/jridgewell/sourcemaps"
"@modelcontextprotocol/sdk@1.27.1","MIT","https://github.com/modelcontextprotocol/typescript-sdk"
"@mswjs/interceptors@0.41.3","MIT","https://github.com/mswjs/interceptors"
"@napi-rs/wasm-runtime@0.2.12","MIT","https://github.com/napi-rs/napi-rs"
"@next/env@16.2.1","MIT","https://github.com/vercel/next.js"
"@next/eslint-plugin-next@16.2.1","MIT","https://github.com/vercel/next.js"
"@next/swc-darwin-arm64@16.2.1","MIT","https://github.com/vercel/next.js"
"@noble/ciphers@1.3.0","MIT","https://github.com/paulmillr/noble-ciphers"
"@noble/curves@1.9.7","MIT","https://github.com/paulmillr/noble-curves"
"@noble/hashes@1.8.0","MIT","https://github.com/paulmillr/noble-hashes"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@nolyfill/is-core-module@1.0.39","MIT","https://github.com/SukkaW/nolyfill"
"@open-draft/deferred-promise@2.2.0","MIT","https://github.com/open-draft/deferred-promise"
"@open-draft/logger@0.3.0","MIT","https://github.com/open-draft/logger"
"@open-draft/until@2.1.0","MIT","https://github.com/open-draft/until"
"@opentelemetry/api@1.9.0","Apache-2.0","https://github.com/open-telemetry/opentelemetry-js"
"@rtsao/scc@1.1.0","MIT","https://github.com/rtsao/scc"
"@sec-ant/readable-stream@0.4.1","MIT","https://github.com/Sec-ant/readable-stream"
"@sindresorhus/merge-streams@4.0.0","MIT","https://github.com/sindresorhus/merge-streams"
"@standard-schema/spec@1.1.0","MIT","https://github.com/standard-schema/standard-schema"
"@swc/helpers@0.5.15","Apache-2.0","https://github.com/swc-project/swc"
"@tailwindcss/node@4.2.2","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide-darwin-arm64@4.2.2","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/oxide@4.2.2","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tailwindcss/postcss@4.2.2","MIT","https://github.com/tailwindlabs/tailwindcss"
"@tonaljs/midi@4.10.2","MIT",""
"@tonaljs/pitch-note@6.1.0","MIT",""
"@tonaljs/pitch@5.0.2","MIT",""
"@ts-morph/common@0.27.0","MIT","https://github.com/dsherret/ts-morph"
"@tybys/wasm-util@0.10.1","MIT","https://github.com/toyobayashi/wasm-util"
"@types/estree@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json5@0.0.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@20.19.37","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@19.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.2.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/statuses@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/validate-npm-package-name@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@typescript-eslint/eslint-plugin@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/parser@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/project-service@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/scope-manager@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/tsconfig-utils@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/type-utils@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/types@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/typescript-estree@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/utils@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@8.57.1","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@unrs/resolver-binding-darwin-arm64@1.11.1","MIT","https://github.com/unrs/unrs-resolver"
"@vercel/oidc@3.1.0","Apache-2.0","https://github.com/vercel/vercel"
"accepts@2.0.0","MIT","https://github.com/jshttp/accepts"
